종목명,항목,내용
건설기계정비기능장,변천과정,’74.10.16. 대통령령 제7283호’95.10.16. 대통령령 제14783호현재중기정비기능장건설기계정비기능장건설기계정비기능장
건설기계정비기능장,수행직무,"건설기계정비에 관한 최상급 숙련기능을 가지고 산업현장에서 작업관리, 건설기계정비 기능자의 지도 및 감독, 현장훈련, 경영층과 생산계층을 유지적으로 결합시켜주는 현장의 중간관리자로서의 역할업무를 수행. "
건설기계정비기능장,실시기관 홈페이지,http://www.q-net.or.kr
건설기계정비기능장,실시기관명,한국산업인력공단 
건설기계정비기능장,위 자격취득자에 대한 법령상 우대현황,"건설기계정비기능장순번법령명조문내역활용내용1건설기계관리법 시행규칙제33조 검사대행자등(별표9)건설기계검사대행자의 시설 및 기술인력 보유 기준2건설기계관리법 시행규칙제54조 건설기계확인검사(별표13의2)구조성능확인서를 발급할수 있는 시험기관3건설기계관리법 시행규칙제56조 사후관리시 설등의 기준(별표13)제작자등이 확보하여야 할 사후관리에 필요한 기술인력4건설기계관리법 시행규칙제61조 건설기계정비업의 등록기준(별표15)건설기계정비업의 등록기준5건설산업기본법 시행규칙제25조의3 건설사업관리관련 인력건설사업관리관련 인력6건설산업기본법 시행령제13조 건설업의 등록기준(별표2)건설업의 등록기준7건설산업기본법 시행령제35조 건설기술자의 현장배치기준등(별표5)공사예정금액의 규모별 건설기술자 배치기준8경찰공무원임용령제16조 특별채용의 요건특별채용의 자격9고등학교 졸업학력 검정고시 규칙제12조 과목면제고시합격자로 가늠 또는 과목면제10공무원수당 등에 관한 규정제14조 특수업무수당(별표11)특수업무수당지급11공무원임용시험령제27조 경력경쟁채용시험등의 응시자격 등(별표7, 8)경력경쟁채용시험등에 응시12공무원임용시험령제31조 채용시험의 특전(별표10, 12)6급 이하 공무원 및 기능직공무원 채용시험 가산대상 자격증13공연법 시행규칙제6조의4 무대예술전문인 자격검정의 응시무대예술전문인의 자격검정에 응시하고자 하는 자의 자격14공연법 시행령제10조의2 안전진단기관의 지정요건(별표1)안전진단기관의 지정 요건15공연법 시행령제10조의4 무대예술전문인 자격검정의 응시기준(별표2)무대예술전문인 자격검정의 등급별 응시기준16공직자윤리법 시행령제34조 취업승인관할 공직자윤리위원회가 취업승인을 하는 경우17공직자윤리법의 시행에 관한 대법원규칙제37조 취업승인 신청퇴직공직자의 취업승인 요건18공직자윤리법의 시행에 관한 헌법재판소규칙제20조 취업승인퇴직공직자의 취업승인 요건19관광진흥법 시행규칙제70조 안전성검사기관 등록 요건(별표24)안전성검사기관 등록 시 인력 요건20광산보안법 시행규칙제35조 보안감독계원보안감독계원 선임21교원자격검정령 시행규칙제9조 무시험검정의 신청실기교사무시험검정인 때에는 국가기술자격증 사본(해당과목에 한한다)을 첨부하여야 무시험자격22교육감 소속 지방공무원 평정규칙제23조 자격증 등의 가점(별표5)5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정23교통안전법 시행령제43조 시험의 일부 면제 등(별표7)교통안전관리자 시험 일부 면제 대상자24국가공무원법제36조의2 채용시험의 가점채용시험의 가점25국가과학기술 경쟁력강화를 위한 이공계지원특별법 시행령제20조 연구기획평가사의 자격시험연구기획평가사 자격시험 일부 면제26국가과학기술 경쟁력강화를 위한 이공계지원특별법 시행령제2조 이공계인력의 범위 등이공계인력의 정의27국가기술자격법제14조 국가기술자격 취득자에 대한 우대국가기술자격 취득자를 우대28국가기술자격법 시행규칙제21조 시험위원의 자격 등(별표16)시험위원의 자격29국가기술자격법 시행령제27조 국가기술자격취득자의 취업 등에 대한 우대채용·보수 및 승진 등에 있어 해당 직무분야의 국가기술자격취득자를 우대30국가를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준가격을 적용함에 있어 해당 노임단가에 그 노임단가의 100분의 15 이하에 해당하는 금액을 가산31국외유학에 관한 규정제5조 자비유학자격자비유학을 할수 있는자32국회인사규칙제20조 경력경쟁채용등의 요건동종직무에 관한 자격증소지자를 경력경쟁채용하는 경우33군무원인사법 시행규칙제16조 시험과목의 일부 면제 등국가에서 실시한 각종 자격·면허시험에 합격한 사람의 자격이 임용예정 직급과 관련이 있는 경우에는 그 자격·면허시험에 이미 응시한 시험과목에 대한 시험은 면제34군무원인사법 시행규칙제27조 가산점(별표4)승진후보자 명부작성시 자격증 및 면허증 소지자 가산35군무원인사법 시행령제10조 특별채용 요건(별표4)특별채용시험에 의하여 신규채용할 수 있는 자격36군인사법 시행규칙제14조 부사관의 임용부사관의 자격37궤도운송법 시행규칙제18조 안전검사업무의 위탁 등(별표1)안전검사업무를 위탁받기 위하여 갖추어야 하는 기술인력38근로자직업능력 개발법 시행령제27조 직업능력개발훈련을 위하여 근로자를 가르칠 수 있는 사람직업능력개발훈련교사의 정의39근로자직업능력 개발법 시행령제28조 직업능력개발훈련교사의 자격 기준(별표2)직업능력개발훈련교사의자격40근로자직업능력 개발법 시행령제38조 다기능기술자과정의 학생선발방법정원 내 특별전형대상자41근로자직업능력 개발법 시행령제42조 교원 등의 자격(별표1의2)기능대학의 교원 자격42근로자직업능력 개발법 시행령제44조 교원 등의 임용교원을 임용할 때 자격증 소지자 우대43숙련기술장려법제15조 창업 및 창업의 지원우수 숙련기술자, 대한민국명장 및 기능경기대회 입상자가 해당분야에서 창업하거나 취업하는 것을 촉진하기 위해 지원44숙련기술장려법 시행령제16조 전수지원금의 지급전수지원금을 받으려는 사람45숙련기술장려법 시행령제15조 숙련기술전수대상자의 선정숙련기술전수자 및 숙련기술전수 대상자의 선정기준46숙련기술장려법 시행령제21조 대한민국명장심사위원회의설치운영숙련기술과 관련하여 비영리법인으로 허가를 받은 단체의 임원은 심사위원회의 자격이 됨47대기환경보전법 시행규칙제67조의2 인증시험대행기관의 지정(별표18의2)인증시험대행기관으로 지정받으려는 자의 기술인력48대기환경보전법 시행규칙제70조 자동차제작자의 검사 인력ㆍ장비 등(별표19)인증시험을 실시하는 경우에 갖추어야 할 인력49대기환경보전법 시행규칙제87조 운행차의 정기검사방법 등(별표23)운행차 정기검사의 대상항목, 방법 및 기준50독학에 의한 학위취득에 관한 법률 시행규칙제4조 국가기술자격취득자에 대한 시험면제범위등자격취득분야와 동일한 분야의 시험에 응시하는 자에 대하여는 해당 과정별 인정시험 면제51독학에 의한 학위취득에 관한 법률 시행령제9조 시험과목면제 대상시험과목의 전부 또는 일부를 면제받을 수 있는 자52문화산업진흥 기본법 시행령제26조 기업부설창작연구소 등의 인력ㆍ시설 등의 기준기업부설창작연구소의 인력기준53법원계약직공무원규칙제3조 채용자격(별표2)전문계약직공무원의 채용자격기준54법원공무원규칙제19조 특별채용시험의 응시요건등특별채용시험의 응시요건55병역법제53조 전시근로소집 대상 등전시근로소집 대상56병역법 시행령제81조 농어업 분야 종사자의 산업기능요원 편입농어업 분야의 산업기능요원에 편입할 수 있는 사람57병역법 시행령제83조 전문연구요원 및 산업기능요원이 종사할 해당 분야 등분야에 종사해야할 전문연구요원 및 산업기능요원58부품·소재전문기업 등의 육성에 관한 특별조치법 시행령제14조 부품·소재기술개발전문기업의 지원기준 등부품·소재기술개발전문기업의 기술개발전담요원59비상대비자원 관리법제2조 대상자원의 범위대상자원의 범위60산업안전보건법 시행규칙제17조 안전관리대행기관의 인력·시설 및 장비기준(별표5)안전관리대행기관의 인력기준61산업안전보건법 시행규칙제74조 검사원의 자격검사원의 자격62산업안전보건법 시행규칙제75조 지정검사기관의 지정요건(별표10)지정검사기관의 인력기준63산업안전보건법 시행령제26조의10 안전ㆍ보건교육의 위탁 전문기관 및 요건(별표6의2)안전ㆍ보건교육의 위탁 전문기관의 요건64선거관리위원회 공무원규칙제21조 경력경쟁채용등의 요건(별표4)같은 종류의 직무에 관한 자격증 소지자를 경력경쟁채용등을 하려는 경우65선거관리위원회 공무원규칙제29조 전직시험의 면제(별표13, 15)자격증 소지자를 그 자격증에 상응한 직급으로 전직하는 경우66선거관리위원회 공무원규칙제85조 전직시험이 면제되는 직급별 자격증 구분(별표13)전직시험이 면제되는 당해직급에 상응하는 자격증67선거관리위원회 공무원규칙제89조 채용시험의 특전(별표14, 15)자격증의 소지자가 6급이하 공무원채용시험에 응시하는 경우 점수 가산68선거관리위원회 공무원평정규칙제23조 자격증의 가점, (별표6)자격증의 가점평정69선박직원법 시행령제11조 시험과목필기시험의 해당 과목을 면제70소방공무원임용령제15조 특별채용의 요건등특별채용의 요건71소방시설 설치유지 및 안전관리에 관한 법률 시행령제23조 소방안전관리자의 선임대상자소방안전관리자의 자격72소음ㆍ진동관리법 시행규칙제18조 환경기술인의 자격기준 등(별표7)환경기술인을 두어야 할 사업장과 그 자격기준73소음ㆍ진동관리법 시행규칙제36조 자동차제작자 검사의 인력·장비 등(별표14)자동차제작자가 인증시험을 실시하는 경우에 갖추어야 할 인력74소음ㆍ진동관리법 시행규칙제44조 운행차의 정기검사방법 등(별표16)검사기관의 기술능력75소음ㆍ진동관리법 시행규칙제50조 확인검사대행자의 등록기준(별표16)확인검사대행자의 등록을 하려는 자의 기술능력76수도법 시행규칙제12조 수도시설관리자의 자격수도시설관리자의 자격77승강기시설 안전관리법 시행규칙제12조 기술인력 및 보수설비의 기준(별표5)승강기 보수를 업으로 하려는 자가 갖추어야 할 기술인력78승강기시설 안전관리법 시행규칙제22조 검사기관의 검사인력 및 검사설비(별표7의3)검사기관의 검사인력79여성과학기술인육성및지원에관한법률시행령제2조 정의여성과학기술인의 자격80연구직 및 지도직공무원의 임용 등에 관한 규정제26조의2 채용시험의 특전(별표5, 7)연구사 및 지도사공무원 채용시험 응시하는 경우 점수 가산81장애인 등에 대한 특수교육법 시행령제17조 전문인력의 자격 기준 등자격이 있는 진로 및 직업교육을 담당하는 전문인력82전기사업법제73조 전기안전관리자의 선임 등전기설비의 공사·유지 및 운용에 관한 안전관리업무를 수행하게 하기 위하여 필요한 전기안전관리자83전기사업법 시행규칙제33조 전기설비 검사자의 자격전기설비 검사자의 자격84전기사업법 시행규칙제40조 전기안전관리자의 선임 등(별표12)안전관리자와 안전관리보조원으로 구분하여 선임85전기사업법 시행규칙제42조 전기안전관리자 자격의 완화전기안전관리자로 선임할 수 있는 사람의 자격기준86전기사업법 시행규칙제43조 전기안전관리자의 직무대행자의 지정요건전기안전관리자의 직무대행자87전기사업법 시행규칙제44조 전기안전관리자의 자격 및 직무(별표12)안전관리보조원의 자격88전기사업법 시행규칙제50조의3 중대한 사고의 통보·조사(별표20)사고조사를 하게 할 수 있는 자89주차장법 시행령제12조의4 검사대행자의 지정 및 취소(별표2)검사업무를 대행할 수 있는 전문검사기관의 지정요건90주차장법 시행령제12조의6 보수업의 등록기준(별표3)기계식주차장치 보수업을 등록하려는 자가 갖추어야 할 기술인력91중소기업인력지원 특별법제28조 근로자의 창업지원 등당해 직종과 관련된 분야에서 신기술에 기반한 창업을 하고자 하는 경우 지원92중소기업제품 구매촉진 및 판로지원에 관한 법률 시행규칙제12조 시험연구원의 지정 등(별표3)시험연구원의 지정기준93중소기업진흥에 관한 법률제48조 1차 시험의 면제1차 시험을 면제94중소기업창업 지원법 시행령제20조 중소기업상담회사의 등록요건(별표1)중소기업상담회사가 보유하여야 하는 전문인력95중소기업창업 지원법 시행령제6조 창업보육센터사업자의 지정(별표1)창업보육센터사업자의 전문인력96지방공무원 임용령제17조 경력경쟁임용시험등을 통한 임용의 요건경력경쟁임용시험을 통하여 임용하려는 경우97지방공무원 임용령제55조의3 자격증 소지자에 대한 신규임용시험의 특전6급 이하 공무원 및 기능직공무원 신규임용시험 시 필기시험 점수 가산98지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정99지방공무원법제34조의2 신규임용시험의 가점공무원 신규임용시험시 점수 가산100지방자치단체를 당사자로 하는 계약에 관한 법률제16조 감독주민대표자의추천을받을수있는사람의자격기준101지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산 시 단위당 가격의 기준지방자치단체의 장 또는 계약담당자는 가격을 적용함에 있어 당해 노임단가에 동 노임단가의 100분의 15이하에 해당하는 금액을 가산102지방자치단체를 당사자로 하는 계약에 관한 법률 시행령제106조 계약심의위원회의 구성계약심의위원회의 위원103지역균형개발 및 지방중소기업 육성에 관한 법률 시행령제59조 인력의 지역정착지원인력의 지역정착지원104해양경찰청소속 경찰공무원 승진임용규정 시행규칙제15조 가점평정(별표6, 7)가점평정105해양환경관리법 시행규칙제23조 오염물질저장시설의 설치ㆍ운영기준(별표10)오염물질저장시설의 설치기준106안전행정부 소관 비상대비자원관리법 시행규칙제2조 인력자원의 관리직종(별표)인력자원 관리직종의 자격 구분표107헌법재판소 공무원 수당규칙제6조 특수업무수당(별표2)특수업무수당지급(update 13.05.13)"
건설기계정비기능장,진로 및 전망," 주로 건설기계제작업체, 건설기계정비업체, 검사업체, 대여업체, 건설업체 등에 진출하여, 직업능력개발훈련교사로도 진출할 수 있다.  「건설기계관리법」에 의한 건설기계검사대행업체의 건설기계검사주임, 건설기계제작·조립업체의 건설기계제작·조립기술자,  건설기계구조성능시험기관의 건설기계구조성능시험반장, 건설기계정비업소의 건설기계정비기술자, 건설기계매매협회의 중고건설기계성능점검기술자나, 「건설기술관리법」에 의한 감리전문회사의 감리원 등으로 고용될 수 있다.- 건설기계정비분야는 건설기계의 직접적인 사용대수에 영향을 받기 때문에 건설경기에 매우 민감한 편이다. 「건설기계관리법」의 검사관련규제 등에도 영향을 받게 되지만 건설기계 자체가 점차 대형화, 정밀화됨에 따라 어느정도의 기본적인 인력수요는 상존할 것으로 보인다.  그리고 아직까지 국내에는 최고수준의 숙련기능을 갖춘 인력이 많지 않기 때문에 이들 자격취득자의 전망은 밝아 보인다.  한편 건설기계정비분야는 건설기계의 종류가 매우 다양하고 각 기계마다 빠른 속도로 개량되고 있어서 자격취득 후에도 기술변화에 지속적인  관심을 기울여야 할 것이다."
건설기계정비기능장,출제경향," 건설기계의 관련법규 및 안전기준에 따라 정비하고, 정비용 시험기를 유지관리 할 수 있을 것- 각종 공구 및 점검기기를 이용하여 기관, 차체, 전기 및 전자장치, 작업장치, 유압장치 등의 결함이나 고장부위를 진단할 수 있으며, 그 결과에 따라 알맞은 부품으로 교체하거나 정비할 수 있을 것- 건설기계의 정비실무 지식에 따라 작업공정을 설정하고, 정비용 시험기를 유지관리 할 수 있을 것"
건설기계정비기능장,취득방법,"① 시 행 처 : 한국산업인력공단② 훈련기관 : 공공직업훈련원, 사업체내직업훈련원, 인정직업훈련원 또는 일반사설학원 ③ 시험과목- 필기 : 건설기계정비, 안전관리, 공업경영에 관한 사항- 실기 : 건설기계정비 실무 ④ 검정방법- 필기 : 전과목 혼합, 객관식 60문항 (60분)- 실기 : 복합형(필답형,1시간30분 + 작업형,6시간30분정도) ⑤ 합격기준- 필기·실기 : 100점을 만점으로 하여 60점이상 "
건축목재시공기능장,개요,"건축구조물의 대형화, 새로운 시공방법의 개발, 특수재료의 개발 등 건설공사의 급격 한 발달과 증가로 인하여 많은 기능인력이 필요하게 됨에 따라 자격제도 제정. "
건축목재시공기능장,변천과정,’74.10.16. 대통령령 제7283호’83.12.20. 대통령령 제11281호’95.10.16. 대통령령 제14783호현재건축목공기능장목공기능장건축목재시공기능장건축목재시공기능장
건축목재시공기능장,수행직무,"각종 수공구와 목공기계를 사용하여 목구조의 골조 구성과 철근콘크리트조의 거푸집 제 작, 설치 및 일반 건축물의 내외부를 목재로 마감하는 작업 수행. "
건축목재시공기능장,실시기관 홈페이지,http://www.q-net.or.kr
건축목재시공기능장,실시기관명,한국산업인력공단 
