종목명,항목,내용
건설재료시험산업기사,진로 및 전망,"건설업체 품질관리부서, 건설교통부 지정 품질검사전문기관, 건설재료시험 관련 연구소, 콘크리트파일 등 건설자재 생산공장, 레미콘 및 아스콘 생산업체 등으로 진출할 수 있다. - 건설재료시험산업기사의 고용은 건설경기에 크게 영향을 받기 때문에 국제통화기금 관리체제 이후에 공사량이 감소하면서 신규취업은 물론이고 기존 취업자도 고용이 불안정한 형편이었다. 그러나 중급기술 정도의 시험원은 여전히 부족한 실정으로 향후 경쟁체제에 의한 건설 고품질화가 계속 추진되고, 건설기술관리법도 더욱 강화됨에 따라 숙련된 건설재료시험산업기사에 대한 인력수요는 증가할 것이다."
건설재료시험산업기사,취득방법,"① 시 행 처 : 한국산업인력공단② 관련학과 : 대학 및 전문대학에 개설되어 있는 토목공학, 건축공학 관련학과 ③ 시험과목 - 필기 1. 콘크리트공학 2. 건설재료 및 시험 3. 건설시공학 4. 토질 및 기초 - 실기 : 토질 및 건설재료 시험 ④ 검정방법 - 필기 : 객관식 4지 택일형 과목당 20문항 (과목당 30분) - 실기 : 복합형[필답형(1시간30분) + 작업형(3시간정도)] ⑤ 합격기준 - 필기 : 100점을 만점으로 하여 과목당 40점 이상, 전과목 평균 60점 이상. - 실기 : 100점을 만점으로 하여 60점 이상."
건축목공산업기사,개요,"건축구조물의 대형화, 새로운 시공방법의 개발, 특수재료의 개발 등 건설공사의 급격한  발달과 증가로 인하여 많은 기능인력이 필요하게 됨에 따라 자격제도 제정. "
건축목공산업기사,변천과정,’74.10.16. 대통령령 제7283호’91.10.31. 대통령령 제13494호’95.10.16. 대통령령 제14783호’98.05.09. 대통령령 제15794현재건축목공기능사1급목공기능사1급건축목공기능사1급건축목공산업기사건축목공산업기사
건축목공산업기사,수행직무,"각종 수공구와 목공기계를 사용하여 목구조의 골조 구성과 철근콘크리트조의 거푸집 제 작, 설치 및 일반 건축물의 내외부를 목재로 마감하는 작업 수행. "
건축목공산업기사,실시기관 홈페이지,http://www.q-net.or.kr
건축목공산업기사,실시기관명,한국산업인력공단 
건축목공산업기사,위 자격취득자에 대한 법령상 우대현황,"순번법령명조문내역활용내용1건설기술관리법 시행규칙제15조의4 품질시험 및 검사의 실시(별표11)건설공사 품질관리를 위한 품질관리자의 배치기준2건설기술관리법 시행령제51조의2 감리원의 자격(별표3)감리원의 자격3건설산업기본법 시행령제13조 건설업의 등록기준(별표2)건설업의 등록기준4건설산업기본법 시행령제35조 건설기술자의 현장배치기준등(별표5)공사예정금액의 규모별 건설기술자 배치기준5건축법 시행령제19조 공사감리건축공사감리6건축사법제2조 정의건축사보의 정의7건축사법 시행령제6조의3 건축사자격시험의 응시절차 등합격예정자가 확인에 동의하지 아니하는 경우 서류 첨부8경찰공무원 승진임용 규정 시행규칙제15조 가점평정(별표7, 9)가점평정9경찰공무원임용령제16조 특별채용의 요건특별채용의 자격10고등학교 졸업학력 검정고시 규칙제12조 과목면제고시합격자로 가늠 또는 과목면제11공무원수당 등에 관한 규정제14조 특수업무수당(별표11)특수업무수당지급12공무원임용시험령제27조 특별채용시험의 응시자격 등(별표7, 8)특별채용시험에 응시13공무원임용시험령제31조 채용시험의 특전(별표10, 12)6급 이하 공무원 및 기능직공무원 채용시험 가산대상 자격증14공연법 시행규칙제6조의3 무대예술전문인 자격검정의 응시무대예술전문인의 자격검정에 응시하고자 하는 자의 자격15공연법 시행령제10조의2 무대예술전문인 자격검정의 응시기준(별표2)무대예술전문인 자격검정의 등급별 응시기준16공직자윤리법 시행령제34조 취업승인관할 공직자윤리위원회가 취업승인을 하는 경우17공직자윤리법의 시행에 관한 대법원규칙제37조 취업승인퇴직공직자의 취업승인 요건18공직자윤리법의 시행에 관한 헌법재판소규칙제20조 취업승인퇴직공직자의 취업승인 요건19교원자격검정령 시행규칙제9조 무시험검정의 신청실기교사무시험검정인 때에는 국가기술자격증 사본(해당과목에 한한다)을 첨부하여야 무시험자격20교육감 소속 지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정21국가공무원법제36조의2 채용시험의 가점채용시험의 가점22국가과학기술 경쟁력강화를 위한 이공계지원특별법 시행령제20조 연구기획평가사의 자격시험연구기획평가사 자격시험 일부 면제23국가과학기술 경쟁력강화를 위한 이공계지원특별법 시행령제2조 이공계인력의 범위 등이공계인력의 정의24국가기술자격법제14조 국가기술자격 취득자에 대한 우대국가기술자격 취득자를 우대25국가기술자격법 시행규칙제21조 시험위원의 자격 등(별표16)시험위원의 자격26국가기술자격법 시행령제10조 국가기술자격의 등급과 응시자격(별표1의2)기술·기능분야 국가기술자격의 응시자격27국가기술자격법 시행령제27조 국가기술자격취득자의 취업 등에 대한 우대채용·보수 및 승진 등에 있어 해당 직무분야의 국가기술자격취득자를 우대28국가를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준가격을 적용함에 있어 해당 노임단가에 그 노임단가의 100분의 15 이하에 해당하는 금액을 가산29국외유학에 관한 규정제5조 자비유학자격자비유학을 할수 있는자30국회인사규칙제20조 특별채용의 요건동종직무에 관한 자격증소지자를 특별채용하는 경우31군무원인사법 시행규칙제16조 시험과목의 일부 면제 등국가에서 실시한 각종 자격·면허시험에 합격한 사람의 자격이 임용예정 직급과 관련이 있는 경우에는 그 자격·면허시험에 이미 응시한 시험과목에 대한 시험은 면제32군무원인사법 시행규칙제27조 가산점(별표4)승진후보자 명부작성시 자격증 및 면허증 소지자 가산33군무원인사법 시행령제10조 특별채용 요건(별표4)특별채용시험에 의하여 신규채용할 수 있는 자격34군인사법 시행규칙제14조 부사관의 임용부사관의 자격35군인사법 시행령제44조 전역보류(별표2, 별표5)정밀장비기술자, 군의 필수기술분야에 종사하는 자의 범위36근로자직업능력 개발법 시행령제27조 직업능력개발훈련을 위하여 근로자를 가르칠 수 있는 사람직업능력개발훈련교사의 정의37근로자직업능력 개발법 시행령제28조 직업능력개발훈련교사의 자격 취득(별표1)직업능력개발훈련교사의자격 38근로자직업능력 개발법 시행령제38조 다기능기술자과정의 학생선발방법정원 내 특별전형대상자39근로자직업능력 개발법 시행령제44조 교원 등의 임용교원을 임용할 때 자격증 소지자 우대40기능장려법 시행령제3조 영업의 우선적 인ㆍ허가등영업의 우선적 인ㆍ허가등41기술개발촉진법 시행령제15조 특정연구개발사업 참여기관 등의 기준연구전담요원의 자격42기술사법 시행령제19조 합동기술사사무소의 등록기준 등합동사무소구성원의 요건43독학에 의한 학위취득에 관한 법률 시행규칙제4조 국가기술자격취득자에 대한 시험면제범위등자격취득분야와 동일한 분야의 시험에 응시하는 자에 대하여는 해당 과정별 인정시험 면제44독학에 의한 학위취득에 관한 법률 시행령제9조 시험과목면제 대상시험과목의 전부 또는 일부를 면제받을 수 있는 자45법원계약직공무원규칙제3조 채용자격(별표2)전문계약직공무원의 채용자격기준46법원공무원규칙제19조 특별채용시험의 응시요건등(별표5의1)특별채용시험의 응시요건47병역법제53조 전시근로소집 대상 등전시근로소집 대상48병역법 시행령제79조 기간산업 분야 종사자 등의 산업기능요원 편입(별표2)기간산업분야종사자등의 산업기능요원 편입49병역법 시행령제83조 전문연구요원 및 산업기능요원이 종사할 해당 분야 등분야에 종사해야할 전문연구요원 및 산업기능요원50비상대비자원 관리법제2조 대상자원의 범위대상자원의 범위51산림자원의 조성 및 관리에 관한 법률 시행령제30조 산림기술자의 종류 등(별표2)산림기술자의자격요건 52산업안전보건법 시행규칙제80조의5 석면해체·제거업자의 인력·시설 및 장비기준(별표10의4)석면해체 제거업자의 인력기준53산업안전보건법 시행령제26조의10 안전ㆍ보건교육의 위탁 전문기관 및 요건(별표6의2)안전ㆍ보건교육의 위탁 전문기관의 요건54선거관리위원회 공무원규칙제21조 특별채용의 요건(별표4)동종직무에 관한 자격증소지자를 특별채용55선거관리위원회 공무원규칙제29조 전직시험의 면제(별표13, 15)전직시험의 면제56선거관리위원회 공무원규칙제85조 전직시험이 면제되는 직급별 자격증 구분(별표13)전직시험이 면제되는 당해직급에 상응하는 자격증57선거관리위원회 공무원규칙제89조 채용시험의 특전(별표14, 15)자격증의 소지자가 6급이하 공무원채용시험에 응시하는 경우 점수 가산58선거관리위원회 공무원평정규칙제23조 자격증의 가점, (별표6)자격증의 가점평정59선박직원법 시행령제11조 시험과목필기시험의 해당 과목을 면제60소방기본법 시행규칙제12조 화재조사전담부서의 설치ㆍ운영 등화재조사전담부서의 장61소방시설 설치유지 및 안전관리에 관한 법률 시행령제8조 소방검사자의 자격소방공무원으로서 소방검사자의 자격62승강기시설 안전관리법 시행규칙제22조 검사기관의 검사인력 및 검사설비(별표7의3)검사기관의 검사인력63신에너지 및 재생에너지 개발·이용·보급 촉진법 시행령제25조 신ㆍ재생에너지 설비 설치전문기업의 신고기준 등(별표7)신·재생에너지 설비 설치전문기업의 신고기준64에너지이용 합리화법 시행령제30조 에너지절약전문기업의 등록 등(별표2)에너지절약전문기업으로 등록을 하려는 자65에너지이용 합리화법 시행령제39조 진단기관의 지정기준(별표4)진단기관이보유하여야하는기술인력 66여성과학기술인육성및지원에관한법률시행령제2조 정의여성과학기술인의 자격67연구직 및 지도직공무원의 임용 등에 관한 규정제26조의2 채용시험의 특전(별표5, 7)연구사 및 지도사공무원 채용시험 응시하는 경우 점수 가산68장애인 등에 대한 특수교육법 시행령제17조 전문인력의 자격 기준 등자격이 있는 진로 및 직업교육을 담당하는 전문인력69중소기업인력지원 특별법제28조 근로자의 창업지원 등당해 직종과 관련된 분야에서 신기술에 기반한 창업을 하고자 하는 경우 지원70중소기업제품 구매촉진 및 판로지원에 관한 법률 시행규칙제12조 시험연구원의 지정 등(별표2)시험연구원의 지정기준71중소기업진흥에 관한 법률제48조 1차 시험의 면제1차 시험을 면제72지방공무원 임용령제17조 특별임용의 요건특별임용 하려는 경우73지방공무원 임용령제55조의3 자격증 소지자에 대한 신규임용시험의 특전6급 이하 공무원 및 기능직공무원 신규임용시험 시 필기시험 점수 가산74지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정75지방공무원법제34조의2 신규임용시험의 가점공무원 신규임용시험시 점수 가산76지방자치단체를 당사자로 하는 계약에 관한 법률제57조 주민참여감독자의 자격주민대표자의추천을받을수있는사람의자격기준 77지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준지방자치단체의 장 또는 계약담당자는 가격을 적용함에 있어 당해 노임단가에 동 노임단가의 100분의 15이하에 해당하는 금액을 가산78지방자치단체를 당사자로 하는 계약에 관한 법률 시행령제106조 계약심의위원회의 구성계약심의위원회의 위원79지역균형개발 및 지방중소기업 육성에 관한 법률 시행령제59조 인력의 지역정착지원인력의 지역정착지원80철도안전법 시행규칙제52조 품질인증기관의 세부지정기준(별표15)품질인증기관의 세부지정기준81행정안전부 및 소방방재청 소관 비상대비자원관리법 시행규칙제2조 인력자원의 관리직종(별표)인력자원 관리직종의 자격 구분표82헌법재판소 공무원 규칙제14조 특별채용의 요건(별표3)동종직무에 관한 자격증 소지자 특별채용83헌법재판소 공무원 규칙제21조 전직시험의 면제(별표7)전직시험의 면제84헌법재판소 공무원 수당규칙제6조 특수업무수당(별표2)특수업무수당지급"
건축목공산업기사,진로 및 전망,"자격취득에 따른 기능 향상을 가져올수 있으며 실제 건설현장에서 기능을 습득하여 목공으로 취업하는 것이 일반적이다. 작업의 특성상 일정한 회사에 상용직으로 고용되지 않고 전문건설업체나 하도급자의 의뢰에 따라 작업을 수행한다. - 주택이나 상업시설, 문화시설 등에 대한 고품질화와 목조주택 등 목재시공에 대한 수요가 증가하고 있어 목공에 대한 인력수요는 서서히 증가할 것이다."
건축목공산업기사,취득방법,"① 시 행 처 : 한국산업인력공단 ② 관련학과 : 공업계 고등학교의 건축 및 건축 관련학과 ③ 훈련기관 : 공공 직업훈련원, 정부 직업훈련원, 시도 직업훈련원, 사업체내 직업훈 련원의 거푸집 및 건축목공 과정 ④ 시험과목 - 필기 : 1. 건축일반 2. 목공 작업 및 재료 3. 안전관리 - 실기 : 건축목공작업 ⑤ 검정방법 - 필기 : 객관식 4지 택일형, 과목당 20문항(과목당 30분) - 실기 : 작업형(8시간정도) ⑥ 합격기준 - 필기 : 100점을 만점으로 하여 과목당 40점 이상, 전과목 평균 60점 이상. - 실기 : 100점을 만점으로 하여 60점 이상. "
건축산업기사,개요,건축물의 계획 및 설계에서 시공에 이르기까지 전과정에 관한 공학적 지식과 기술을 갖 춘 기술인력으로 하여금 건축업무를 수행하게 함으로써 안전한 건축물 창조를 위하여  자격제도 제정. 
건축산업기사,변천과정,’74.10.16. 대통령령 제7283호’80.12.31. 대통령령 제10124호’98.05.09.대통령령 제15794호현재 건축시공기사2급건축기사2급건축산업기사건축산업기사
건축산업기사,수행직무,"건축의뢰자와 협의하여 건축의 형태와 설계에 관한 필요조건 등을 결정하고 사용자재, 부대설비, 공사비 등에 대하여 전문적인 조언을 해줌. - 건축물의 기능 및 공간적 조건을 결정하기 위하여 고객과 상담하고 통일성있게 조절하여 건물의 규모, 기능, 배치를 설계함. - 상세한 설계도면을 작성하고 제도하여 도급자 또는 각 작업자에게 분배하며, 작업 진행이 설계와 일치하는지를 확인하기 위하여 공사진행상태를 감독하는 업무 수행."
건축산업기사,실시기관 홈페이지,http://www.q-net.or.kr
건축산업기사,실시기관명,한국산업인력공단 
건축산업기사,위 자격취득자에 대한 법령상 우대현황,"순번법령명조문내역활용내용1가축분뇨의 관리 및 이용에 관한 법률 시행령제21조 처리시설 설계ㆍ시공업의 등록기준(별표5)처리시설의 설계·시공업의 등록을 하려는 자가 갖추어야 할 기술능력2건설기술관리법 시행규칙제15조의4 품질시험 및 검사의 실시(별표11)건설공사 품질관리를 위한 품질관리자의 배치기준3건설기술관리법 시행령제49조 품질검사전문기관의 등록 등(별표2)품질검사전문기관으로 등록할 수 있는 자4건설기술관리법 시행령제4조 건설기술자의 범위(별표1)건설기술자의 범위5건설기술관리법 시행령제51조의2 감리원의 자격(별표3)감리원의 자격6건설산업기본법 시행령제13조 건설업의 등록기준(별표2)건설업의 등록기준7건설산업기본법 시행령제35조 건설기술자의 현장배치기준등(별표5)공사예정금액의 규모별 건설기술자 배치기준8건축물대장의 기재 및 관리 등에 관한 규칙제9조 건축물현황도의 작성자건축물현황도의 작성자9건축법 시행령제19조 공사감리건축공사감리10건축사법제2조 정의건축사보의 정의11건축사법 시행령제6조의3 건축사자격시험의 응시절차 등합격예정자가 확인에 동의하지 아니하는 경우 서류 첨부12경찰공무원 승진임용 규정 시행규칙제15조 가점평정(별표7, 9)가점평정13경찰공무원임용령제16조 특별채용의 요건특별채용의 자격14고등학교 졸업학력 검정고시 규칙제12조 과목면제고시합격자로 가늠 또는 과목면제15공무원수당 등에 관한 규정제14조 특수업무수당(별표11)특수업무수당지급16공무원임용시험령제27조 특별채용시험의 응시자격 등(별표7, 8)특별채용시험에 응시17공무원임용시험령제31조 채용시험의 특전(별표10, 12)6급 이하 공무원 및 기능직공무원 채용시험 가산대상 자격증18공연법 시행규칙제6조의3 무대예술전문인 자격검정의 응시무대예술전문인의 자격검정에 응시하고자 하는 자의 자격19공연법 시행령제10조의2 무대예술전문인 자격검정의 응시기준(별표2)무대예술전문인 자격검정의 등급별 응시기준20공직자윤리법 시행령제34조 취업승인관할 공직자윤리위원회가 취업승인을 하는 경우21공직자윤리법의 시행에 관한 대법원규칙제37조 취업승인퇴직공직자의 취업승인 요건22공직자윤리법의 시행에 관한 헌법재판소규칙제20조 취업승인퇴직공직자의 취업승인 요건23교원자격검정령 시행규칙제9조 무시험검정의 신청실기교사무시험검정인 때에는 국가기술자격증 사본(해당과목에 한한다)을 첨부하여야 무시험자격24교육감 소속 지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정25국가공무원법제36조의2 채용시험의 가점채용시험의 가점26국가과학기술 경쟁력강화를 위한 이공계지원특별법 시행령제20조 연구기획평가사의 자격시험연구기획평가사 자격시험 일부 면제27국가과학기술 경쟁력강화를 위한 이공계지원특별법 시행령제2조 이공계인력의 범위 등이공계인력의 정의28국가기술자격법제14조 국가기술자격 취득자에 대한 우대국가기술자격 취득자를 우대29국가기술자격법 시행규칙제21조 시험위원의 자격 등(별표16)시험위원의 자격30국가기술자격법 시행령제10조 국가기술자격의 등급과 응시자격(별표1의2)기술·기능분야 국가기술자격의 응시자격31국가기술자격법 시행령제27조 국가기술자격취득자의 취업 등에 대한 우대채용·보수 및 승진 등에 있어 해당 직무분야의 국가기술자격취득자를 우대32국가를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준가격을 적용함에 있어 해당 노임단가에 그 노임단가의 100분의 15 이하에 해당하는 금액을 가산33국외유학에 관한 규정제5조 자비유학자격자비유학을 할수 있는자34국회인사규칙제20조 특별채용의 요건동종직무에 관한 자격증소지자를 특별채용하는 경우35군무원인사법 시행규칙제16조 시험과목의 일부 면제 등국가에서 실시한 각종 자격·면허시험에 합격한 사람의 자격이 임용예정 직급과 관련이 있는 경우에는 그 자격·면허시험에 이미 응시한 시험과목에 대한 시험은 면제36군무원인사법 시행규칙제27조 가산점(별표4)승진후보자 명부작성시 자격증 및 면허증 소지자 가산37군무원인사법 시행령제10조 특별채용 요건(별표4)특별채용시험에 의하여 신규채용할 수 있는 자격38군인사법 시행규칙제14조 부사관의 임용부사관의 자격39군인사법 시행령제44조 전역보류(별표2, 별표5)정밀장비기술자, 군의 필수기술분야에 종사하는 자의 범위40근로자직업능력 개발법 시행령제27조 직업능력개발훈련을 위하여 근로자를 가르칠 수 있는 사람직업능력개발훈련교사의 정의41근로자직업능력 개발법 시행령제28조 직업능력개발훈련교사의 자격 취득(별표1)직업능력개발훈련교사의자격 42근로자직업능력 개발법 시행령제38조 다기능기술자과정의 학생선발방법정원 내 특별전형대상자43근로자직업능력 개발법 시행령제44조 교원 등의 임용교원을 임용할 때 자격증 소지자 우대44기능장려법 시행령제3조 영업의 우선적 인ㆍ허가등영업의 우선적 인ㆍ허가등45기술개발촉진법 시행령제15조 특정연구개발사업 참여기관 등의 기준연구전담요원의 자격46기술사법 시행령제19조 합동기술사사무소의 등록기준 등합동사무소구성원의 요건47독학에 의한 학위취득에 관한 법률 시행규칙제4조 국가기술자격취득자에 대한 시험면제범위등자격취득분야와 동일한 분야의 시험에 응시하는 자에 대하여는 해당 과정별 인정시험 면제48독학에 의한 학위취득에 관한 법률 시행령제9조 시험과목면제 대상시험과목의 전부 또는 일부를 면제받을 수 있는 자49법원계약직공무원규칙제3조 채용자격(별표2)전문계약직공무원의 채용자격기준50법원공무원규칙제19조 특별채용시험의 응시요건등(별표5의1)특별채용시험의 응시요건51병역법제53조 전시근로소집 대상 등전시근로소집 대상52병역법 시행령제79조 기간산업 분야 종사자 등의 산업기능요원 편입(별표2)기간산업분야종사자등의 산업기능요원 편입53병역법 시행령제83조 전문연구요원 및 산업기능요원이 종사할 해당 분야 등분야에 종사해야할 전문연구요원 및 산업기능요원54비상대비자원 관리법제2조 대상자원의 범위대상자원의 범위55산업안전보건법 시행규칙제32조의2 재해예방 전문지도기관의 인력·시설 및 장비기준(별표6의3)재해예방 전문지도기관의 인력기준56산업안전보건법 시행규칙제32조의4 재해예방 전문지도기관의 지정신청 등(별표6의3)재해예방 전문지도기관의 인력기준57산업안전보건법 시행규칙제77조 방호장치 제조사업 등의 지원대상 요건(별표10의2)방호장치 제조사업 등의 지원대상 요건58산업안전보건법 시행규칙제80조의5 석면해체·제거업자의 인력·시설 및 장비기준(별표10의4)석면해체 제거업자의 인력기준59산업안전보건법 시행령제26조의10 안전ㆍ보건교육의 위탁 전문기관 및 요건(별표6의2)안전ㆍ보건교육의 위탁 전문기관의 요건60선거관리위원회 공무원규칙제21조 특별채용의 요건(별표4)동종직무에 관한 자격증소지자를 특별채용61선거관리위원회 공무원규칙제29조 전직시험의 면제(별표13, 15)전직시험의 면제62선거관리위원회 공무원규칙제85조 전직시험이 면제되는 직급별 자격증 구분(별표13)전직시험이 면제되는 당해직급에 상응하는 자격증63선거관리위원회 공무원규칙제89조 채용시험의 특전(별표14, 15)자격증의 소지자가 6급이하 공무원채용시험에 응시하는 경우 점수 가산64선거관리위원회 공무원평정규칙제23조 자격증의 가점, (별표6)자격증의 가점평정65선박직원법 시행령제11조 시험과목필기시험의 해당 과목을 면제66소방공무원 승진임용 규정 시행규칙제15조의2 가점평정(별표5)소방공무원이 당해 계급에서 자격증을 취득한 때 가점평정67소방공무원임용령 시행규칙제19조 초임소방공무원의 보직(별표6)행정안전부령이 정하는 자격증소지자68소방공무원임용령 시행규칙제23조 응시자격등의 기준(별표2)특별채용시험에 응시할 수 있는 자69소방공무원임용령 시행규칙제24조 채용시험의 특전(별표6)소방간부후보생선발시험과 소방사·지방소방사의 공개경쟁채용시험에 있어서의 자격증 가점비율70소방기본법 시행규칙제12조 화재조사전담부서의 설치ㆍ운영 등화재조사전담부서의 장71소방시설 설치유지 및 안전관리에 관한 법률 시행령제23조 방화관리자의 선임대상자1급 방화관리대상물의 관계인이 선발하는 방화관리자 자격72소방시설 설치유지 및 안전관리에 관한 법률 시행령제8조 소방검사자의 자격소방공무원으로서 소방검사자의 자격73소방시설공사업법 시행규칙제23조 시공능력의 평가(별표4)소방시설공사업자의 시공능력평가74소방시설공사업법 시행규칙제24조 소방기술과 관련된 자격ㆍ학력 및 경력의 인정범위 등소방기술과 관련된 자격의 인정 범위75승강기시설 안전관리법 시행규칙제22조 검사기관의 검사인력 및 검사설비(별표7의3)검사기관의 검사인력76신에너지 및 재생에너지 개발·이용·보급 촉진법 시행령제25조 신ㆍ재생에너지 설비 설치전문기업의 신고기준 등(별표7)신·재생에너지 설비 설치전문기업의 신고기준77에너지이용 합리화법 시행령제30조 에너지절약전문기업의 등록 등(별표2)에너지절약전문기업으로 등록을 하려는 자78에너지이용 합리화법 시행령제39조 진단기관의 지정기준(별표4)진단기관이보유하여야하는기술인력 79여성과학기술인육성및지원에관한법률시행령제2조 정의여성과학기술인의 자격80연구직 및 지도직공무원의 임용 등에 관한 규정제26조의2 채용시험의 특전(별표5, 7)연구사 및 지도사공무원 채용시험 응시하는 경우 점수 가산81유해·위험작업의 취업제한에 관한 규칙제4조 자격취득등을 위한 교육기관(별표1의2)지정교육기관의 인력기준82장애인 등에 대한 특수교육법 시행령제17조 전문인력의 자격 기준 등자격이 있는 진로 및 직업교육을 담당하는 전문인력83중소기업인력지원 특별법제28조 근로자의 창업지원 등당해 직종과 관련된 분야에서 신기술에 기반한 창업을 하고자 하는 경우 지원84중소기업제품 구매촉진 및 판로지원에 관한 법률 시행규칙제12조 시험연구원의 지정 등(별표2)시험연구원의 지정기준85중소기업진흥에 관한 법률제48조 1차 시험의 면제1차 시험을 면제86지방공무원 임용령제17조 특별임용의 요건특별임용 하려는 경우87지방공무원 임용령제55조의3 자격증 소지자에 대한 신규임용시험의 특전6급 이하 공무원 및 기능직공무원 신규임용시험 시 필기시험 점수 가산88지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정89지방공무원법제34조의2 신규임용시험의 가점공무원 신규임용시험시 점수 가산90지방자치단체를 당사자로 하는 계약에 관한 법률제57조 주민참여감독자의 자격주민대표자의추천을받을수있는사람의자격기준 91지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준지방자치단체의 장 또는 계약담당자는 가격을 적용함에 있어 당해 노임단가에 동 노임단가의 100분의 15이하에 해당하는 금액을 가산92지방자치단체를 당사자로 하는 계약에 관한 법률 시행령제106조 계약심의위원회의 구성계약심의위원회의 위원93지역균형개발 및 지방중소기업 육성에 관한 법률 시행령제59조 인력의 지역정착지원인력의 지역정착지원94철도안전법 시행규칙제52조 품질인증기관의 세부지정기준(별표15)품질인증기관의 세부지정기준95하수도법 시행령제31조 개인하수처리시설설계ㆍ시공업(별표4)개인하수처리시설설계·시공업의 등록을 하려는 자가 갖추어야 할 기술인력96하수도법 시행령제32조 개인하수처리시설제조업(별표5)개인하수처리시설제조업의 등록을 하려는 자가 갖추어야 할 기술인력97행정안전부 및 소방방재청 소관 비상대비자원관리법 시행규칙제2조 인력자원의 관리직종(별표)인력자원 관리직종의 자격 구분표98헌법재판소 공무원 규칙제14조 특별채용의 요건(별표3)동종직무에 관한 자격증 소지자 특별채용99헌법재판소 공무원 규칙제21조 전직시험의 면제(별표7)전직시험의 면제100헌법재판소 공무원 수당규칙제6조 특수업무수당(별표2)특수업무수당지급"
건축산업기사,진로 및 전망,"종합 또는 전문건설회사의 건설현장, 건축사사무소, 용역회사, 시공회사 등으로 진출 할 수 있다. - 건축기사의 인력수요는 증가할 것이다. 신규착공부지의 부족, 기업에 대한 정부의 강도 높은 금융제재로 투자위축 우려, 전세대란 대책인한 재건축사업의 부진 우려, 지방지역의 높은 주택보급률에 대한 부담 등 감소요인이 있으나 앞으로의 건설경기동향을 가늠할 수 있는 선행지표인 건축허가 면적이 경기회복의 기대감으로 급증세를 보이고 있으며, 이밖에 최근 저금리추세가 지속, 민간임대사업의 활성화, 소규모 공동주택 재건축 허용, 민영주택의 청약자격 완화, 대형 호화주택에 대한 중과세 방침철회 등 증가요인으로 건축산업기사 자격취득자에 대한 인력수요는 증가할 것이다."
건축산업기사,취득방법,"① 시 행 처 : 한국산업인력공단 ② 관련학과 : 대학이나 전문대학의 건축 관련학과 ③ 시험과목 - 필기 : 1. 건축계획 2. 건축시공 3. 건축구조 4. 건축설비 5. 건축관계법규 실기 : 건축시공실무 ④ 검정방법 - 필기 : 객관식 4지 택일형 과목당 20문항(과목당 30분)  실기 : 작업형(4시간 정도) ⑤ 합격기준 - 필기 : 100점을 만점으로 하여 과목당 40점 이상, 전과목 평균 60점 이상. 실기 : 100점을 만점으로 하여 60점 이상. "
건축설비산업기사,개요,"건축물이 대규모화되고 건축설비 부분에서 종류와 규모가 방대해지고, 운영에 있어서  높은 수준의 기술이 필요하게 됨에 따라 건축물에 설비하는 모든 공작물을 설계, 시공 할 수 있는 전문인력이 필요하게 됨. "
건축설비산업기사,변천과정,’89.03.27. 대통령령 제12668호’98.05.09. 대통령령 제15794호현재건축설비산업기사2급건축설비산업기사건축설비산업기사
건축설비산업기사,수행직무,"건축물에 설치될 위생설비, 공기조화설비, 자동제어설비, 소방설비 등을 각 건축물의 조 건에 적합하게 설계, 시공, 유지, 관리하는 업무 수행. "
건축설비산업기사,실시기관 홈페이지,http://www.q-net.or.kr
건축설비산업기사,실시기관명,한국산업인력공단 
