종목명,년도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
디자인분야,2016,여자,4664,3780,2536,67.1,2728,2389,1314,55,1317
디자인분야,2017,전체,5244,4282,2656,62,3184,2714,1431,52.7,1435
디자인분야,2017,여자,4309,3520,2188,62.2,2581,2219,1232,55.5,1237
디자인분야,2018,전체,4318,3479,2085,59.9,2536,2186,1183,54.1,1184
디자인분야,2018,여자,3505,2818,1721,61.1,2081,1808,1006,55.6,1007
디자인분야,2019,전체,4389,3479,2005,57.6,2504,2157,984,45.6,986
디자인분야,2019,여자,3616,2871,1644,57.3,2045,1773,852,48.1,853
디자인분야,2020,전체,3417,2785,1942,69.7,2433,2018,945,46.8,946
디자인분야,2020,여자,2822,2314,1639,70.8,2038,1709,840,49.2,841
제품디자인,전체,전체,9784,7963,3304,41.5,3749,3144,1373,43.7,2137
제품디자인,2015(누적),전체,9392,7630,3111,40.8,3565,2981,1283,43,2045
제품디자인,2016,전체,58,48,25,52.1,26,23,14,60.9,14
제품디자인,2016,여자,31,25,14,56,11,10,4,40,4
제품디자인,2017,전체,97,86,66,76.7,62,57,30,52.6,32
제품디자인,2017,여자,41,36,28,77.8,23,22,13,59.1,15
제품디자인,2018,전체,89,75,21,28,24,19,11,57.9,11
제품디자인,2018,여자,48,41,8,19.5,9,8,5,62.5,5
제품디자인,2019,전체,73,61,42,68.9,38,37,21,56.8,21
제품디자인,2019,여자,35,29,20,69,17,17,11,64.7,11
제품디자인,2020,전체,75,63,39,61.9,34,27,14,51.9,14
제품디자인,2020,여자,28,24,15,62.5,11,11,5,45.5,5
시각디자인,전체,전체,38571,30711,17674,57.5,24048,20030,9829,49.1,9855
시각디자인,2015(누적),전체,33180,26384,14762,56,20479,16939,8065,47.6,8081
시각디자인,2016,전체,1171,921,572,62.1,700,613,433,70.6,437
시각디자인,2016,여자,893,704,447,63.5,516,455,341,74.9,344
시각디자인,2017,전체,1211,995,724,72.8,732,648,384,59.3,386
시각디자인,2017,여자,894,736,551,74.9,547,492,305,62,307
시각디자인,2018,전체,1117,908,561,61.8,736,635,336,52.9,337
시각디자인,2018,여자,792,641,408,63.7,533,461,252,54.7,253
시각디자인,2019,전체,1051,837,556,66.4,703,601,287,47.8,289
시각디자인,2019,여자,793,634,425,67,522,445,221,49.7,222
시각디자인,2020,전체,841,666,499,74.9,698,594,324,54.5,325
시각디자인,2020,여자,650,516,392,76,545,468,274,58.5,275
컬러리스트,전체,전체,110954,88790,53606,60.4,61823,51027,27166,53.2,27166
컬러리스트,2015(누적),전체,93686,74820,44989,60.1,51565,42297,22936,54.2,22936
컬러리스트,2016,전체,4454,3636,2437,67,2628,2273,1094,48.1,1094
컬러리스트,2016,여자,3740,3051,2075,68,2201,1924,969,50.4,969
컬러리스트,2017,전체,3936,3201,1866,58.3,2390,2009,1017,50.6,1017
컬러리스트,2017,여자,3374,2748,1609,58.6,2011,1705,914,53.6,915
컬러리스트,2018,전체,3112,2496,1503,60.2,1776,1532,836,54.6,836
컬러리스트,2018,여자,2665,2136,1305,61.1,1539,1339,749,55.9,749
컬러리스트,2019,전체,3265,2581,1407,54.5,1763,1519,676,44.5,676
컬러리스트,2019,여자,2788,2208,1199,54.3,1506,1311,620,47.3,620
컬러리스트,2020,전체,2501,2056,1404,68.3,1701,1397,607,43.5,607
컬러리스트,2020,여자,2144,1774,1232,69.4,1482,1230,561,45.6,561
방송분야,전체,전체,1203,949,186,19.6,256,245,98,40,1058
방송분야,2015(누적),전체,1091,852,167,19.6,236,225,91,40.4,1051
방송분야,2016,전체,32,32,8,25,8,8,2,25,2
방송분야,2016,여자,8,8,3,37.5,3,3,1,33.3,1
방송분야,2017,전체,23,22,2,9.1,4,4,1,25,1
방송분야,2017,여자,5,5,0,0,1,1,1,100,1
방송분야,2018,전체,14,14,2,14.3,2,2,1,50,1
방송분야,2018,여자,4,4,1,25,1,1,1,100,1
방송분야,2019,전체,25,16,5,31.3,5,5,3,60,3
방송분야,2019,여자,8,5,2,40,2,2,1,50,1
방송분야,2020,전체,18,13,2,15.4,1,1,0,0,0
방송분야,2020,여자,2,1,0,0,0,0,0,0,0
영사,전체,전체,1203,949,186,19.6,256,245,98,40,1058
영사,2015(누적),전체,1091,852,167,19.6,236,225,91,40.4,1051
영사,2016,전체,32,32,8,25,8,8,2,25,2
영사,2016,여자,8,8,3,37.5,3,3,1,33.3,1
영사,2017,전체,23,22,2,9.1,4,4,1,25,1
영사,2017,여자,5,5,0,0,1,1,1,100,1
영사,2018,전체,14,14,2,14.3,2,2,1,50,1
영사,2018,여자,4,4,1,25,1,1,1,100,1
영사,2019,전체,25,16,5,31.3,5,5,3,60,3
영사,2019,여자,8,5,2,40,2,2,1,50,1
영사,2020,전체,18,13,2,15.4,1,1,0,0,0
영사,2020,여자,2,1,0,0,0,0,0,0,0
운전.운송분야,전체,전체,29981,24045,10058,41.8,13916,12554,8471,67.5,8493
운전.운송분야,2015(누적),전체,26751,21293,9124,42.8,12837,11518,7597,66,7619
운전.운송분야,2016,전체,744,635,191,30.1,224,213,167,78.4,167
운전.운송분야,2016,여자,108,86,26,30.2,28,25,17,68,17
운전.운송분야,2017,전체,843,716,238,33.2,303,284,234,82.4,234
운전.운송분야,2017,여자,99,81,19,23.5,29,24,21,87.5,21
운전.운송분야,2018,전체,546,460,108,23.5,128,123,94,76.4,94
운전.운송분야,2018,여자,69,48,8,16.7,10,10,7,70,7
운전.운송분야,2019,전체,519,443,146,33,168,163,138,84.7,138
운전.운송분야,2019,여자,76,58,22,37.9,21,19,16,84.2,16
운전.운송분야,2020,전체,578,498,251,50.4,256,253,241,95.3,241
운전.운송분야,2020,여자,88,78,41,52.6,43,43,40,93,40
열차조작,전체,전체,12060,9819,5608,57.1,8113,7238,4290,59.3,0
열차조작,2015(누적),전체,12060,9819,5608,57.1,8113,7238,4290,59.3,0
철도운송,전체,전체,17921,14226,4450,31.3,5803,5316,4181,78.6,8493
철도운송,2015(누적),전체,14691,11474,3516,30.6,4724,4280,3307,77.3,7619
철도운송,2016,전체,744,635,191,30.1,224,213,167,78.4,167
철도운송,2016,여자,108,86,26,30.2,28,25,17,68,17
철도운송,2017,전체,843,716,238,33.2,303,284,234,82.4,234
철도운송,2017,여자,99,81,19,23.5,29,24,21,87.5,21
철도운송,2018,전체,546,460,108,23.5,128,123,94,76.4,94
철도운송,2018,여자,69,48,8,16.7,10,10,7,70,7
철도운송,2019,전체,519,443,146,33,168,163,138,84.7,138
철도운송,2019,여자,76,58,22,37.9,21,19,16,84.2,16
철도운송,2020,전체,578,498,251,50.4,256,253,241,95.3,241
철도운송,2020,여자,88,78,41,52.6,43,43,40,93,40
이용.미용분야,전체,전체,434,364,97,26.6,147,119,32,26.9,2399
이용.미용분야,2015(누적),전체,434,364,97,26.6,147,119,32,26.9,2399
미용,전체,전체,316,277,85,30.7,129,102,26,25.5,1083
미용,2015(누적),전체,316,277,85,30.7,129,102,26,25.5,1083
이용,전체,전체,118,87,12,13.8,18,17,6,35.3,1316
이용,2015(누적),전체,118,87,12,13.8,18,17,6,35.3,1316
조리분야,전체,전체,29995,24959,9919,39.7,14944,13259,3446,26,3633
조리분야,2015(누적),전체,25020,20742,8283,39.9,12274,10856,2826,26,3007
조리분야,2016,전체,1001,845,257,30.4,459,413,100,24.2,100
조리분야,2016,여자,540,461,152,33,296,269,69,25.7,69
조리분야,2017,전체,1035,881,304,34.5,442,399,106,26.6,107
조리분야,2017,여자,588,505,200,39.6,303,277,85,30.7,85
조리분야,2018,전체,1039,893,308,34.5,481,434,124,28.6,125
조리분야,2018,여자,565,480,184,38.3,298,264,78,29.5,78
조리분야,2019,전체,998,834,409,49,607,550,153,27.8,154
조리분야,2019,여자,535,452,247,54.6,376,342,107,31.3,107
조리분야,2020,전체,902,764,358,46.9,681,607,137,22.6,140
조리분야,2020,여자,530,442,232,52.5,414,370,89,24.1,92
조리(한식),전체,전체,19629,16386,6959,42.5,10143,9023,2336,25.9,0
조리(한식),2015(누적),전체,17277,14392,6237,43.3,9052,8046,2063,25.6,0
조리(한식),2016,전체,756,626,227,36.3,361,320,84,26.3,0
조리(한식),2016,여자,470,397,141,35.5,246,222,62,27.9,0
조리(한식),2017,전체,787,671,235,35,344,311,86,27.7,0
조리(한식),2017,여자,503,431,167,38.7,248,228,72,31.6,0
조리(한식),2018,전체,809,697,260,37.3,386,346,103,29.8,0
조리(한식),2018,여자,491,416,160,38.5,244,217,69,31.8,0
한식조리,전체,전체,1476,1232,569,46.2,952,865,205,23.7,2513
한식조리,2015(누적),전체,0,0,0,0,0,0,0,0,2035
한식조리,2016,전체,0,0,0,0,0,0,0,0,84
한식조리,2016,여자,0,0,0,0,0,0,0,0,62
한식조리,2017,전체,0,0,0,0,0,0,0,0,86
한식조리,2017,여자,0,0,0,0,0,0,0,0,72
한식조리,2018,전체,0,0,0,0,0,0,0,0,103
한식조리,2018,여자,0,0,0,0,0,0,0,0,69
한식조리,2019,전체,762,645,299,46.4,448,409,107,26.2,107
한식조리,2019,여자,463,390,199,51,294,272,84,30.9,84
한식조리,2020,전체,714,587,270,46,504,456,98,21.5,98
한식조리,2020,여자,460,378,193,51.1,329,296,74,25,74
양식조리,전체,전체,164,138,63,45.7,83,67,20,29.9,423
양식조리,2015(누적),전체,0,0,0,0,0,0,0,0,377
양식조리,2016,전체,0,0,0,0,0,0,0,0,8
양식조리,2016,여자,0,0,0,0,0,0,0,0,5
양식조리,2017,전체,0,0,0,0,0,0,0,0,9
양식조리,2017,여자,0,0,0,0,0,0,0,0,4
양식조리,2018,전체,0,0,0,0,0,0,0,0,5
양식조리,2018,여자,0,0,0,0,0,0,0,0,1
양식조리,2019,전체,87,65,33,50.8,39,32,11,34.4,12
양식조리,2019,여자,26,22,14,63.6,16,11,2,18.2,2
양식조리,2020,전체,77,73,30,41.1,44,35,9,25.7,12
양식조리,2020,여자,24,23,12,52.2,14,12,0,0,3
조리(양식),전체,전체,4893,3999,1248,31.2,1687,1448,405,28,0
조리(양식),2015(누적),전체,4581,3731,1195,32,1594,1360,385,28.3,0
조리(양식),2016,전체,113,100,14,14,36,34,8,23.5,0
조리(양식),2016,여자,27,26,4,15.4,15,15,5,33.3,0
조리(양식),2017,전체,112,95,27,28.4,33,31,8,25.8,0
조리(양식),2017,여자,35,31,8,25.8,14,13,4,30.8,0
조리(양식),2018,전체,87,73,12,16.4,24,23,4,17.4,0
조리(양식),2018,여자,20,19,3,15.8,10,9,1,11.1,0
일식조리,전체,전체,44,31,11,35.5,33,31,14,45.2,104
일식조리,2015(누적),전체,0,0,0,0,0,0,0,0,81
일식조리,2016,전체,0,0,0,0,0,0,0,0,4
일식조리,2016,여자,0,0,0,0,0,0,0,0,1
일식조리,2017,전체,0,0,0,0,0,0,0,0,2
일식조리,2017,여자,0,0,0,0,0,0,0,0,0
일식조리,2018,전체,0,0,0,0,0,0,0,0,3
일식조리,2018,여자,0,0,0,0,0,0,0,0,1
일식조리,2019,전체,28,18,7,38.9,12,12,5,41.7,5
일식조리,2019,여자,1,1,0,0,5,5,2,40,2
일식조리,2020,전체,16,13,4,30.8,21,19,9,47.4,9
일식조리,2020,여자,5,4,2,50,12,11,7,63.6,7
조리(일식),전체,전체,1359,1102,289,26.2,460,394,96,24.4,0
조리(일식),2015(누적),전체,1284,1041,280,26.9,442,378,87,23,0
조리(일식),2016,전체,26,23,2,8.7,8,8,4,50,0
조리(일식),2016,여자,2,2,0,0,1,1,1,100,0
조리(일식),2017,전체,24,18,3,16.7,3,3,2,66.7,0
조리(일식),2017,여자,3,3,1,33.3,0,0,0,0,0
조리(일식),2018,전체,25,20,4,20,7,5,3,60,0
조리(일식),2018,여자,6,3,1,33.3,3,1,1,100,0
조리(중식),전체,전체,1503,1280,436,34.1,873,794,194,24.4,0
조리(중식),2015(누적),전체,1326,1126,398,35.3,785,711,182,25.6,0
조리(중식),2016,전체,55,50,6,12,29,27,2,7.4,0
조리(중식),2016,여자,14,12,1,8.3,17,15,1,6.7,0
조리(중식),2017,전체,65,56,18,32.1,29,27,1,3.7,0
조리(중식),2017,여자,22,18,8,44.4,16,15,1,6.7,0
조리(중식),2018,전체,57,48,14,29.2,30,29,9,31,0
조리(중식),2018,여자,18,16,7,43.8,16,15,3,20,0
중식조리,전체,전체,95,88,48,54.5,85,73,19,26,212
중식조리,2015(누적),전체,0,0,0,0,0,0,0,0,181
중식조리,2016,전체,0,0,0,0,0,0,0,0,2
중식조리,2016,여자,0,0,0,0,0,0,0,0,1
중식조리,2017,전체,0,0,0,0,0,0,0,0,1
중식조리,2017,여자,0,0,0,0,0,0,0,0,1
중식조리,2018,전체,0,0,0,0,0,0,0,0,9
중식조리,2018,여자,0,0,0,0,0,0,0,0,3
중식조리,2019,전체,51,46,27,58.7,39,33,10,30.3,10
중식조리,2019,여자,10,10,7,70,19,15,6,40,6
중식조리,2020,전체,44,42,21,50,46,40,9,22.5,9
중식조리,2020,여자,15,13,7,53.8,21,18,3,16.7,3
복어조리,전체,전체,121,109,76,69.7,135,121,32,26.4,156
복어조리,2015(누적),전체,0,0,0,0,0,0,0,0,108
복어조리,2016,전체,0,0,0,0,0,0,0,0,2
복어조리,2016,여자,0,0,0,0,0,0,0,0,0
복어조리,2017,전체,0,0,0,0,0,0,0,0,9
복어조리,2017,여자,0,0,0,0,0,0,0,0,8
복어조리,2018,전체,0,0,0,0,0,0,0,0,5
복어조리,2018,여자,0,0,0,0,0,0,0,0,4
복어조리,2019,전체,70,60,43,71.7,69,64,20,31.3,20
복어조리,2019,여자,35,29,27,93.1,42,39,13,33.3,13
복어조리,2020,전체,51,49,33,67.3,66,57,12,21.1,12
복어조리,2020,여자,26,24,18,75,38,33,5,15.2,5
조리(복어),전체,전체,203,179,60,33.5,111,97,22,22.7,0
조리(복어),2015(누적),전체,44,37,13,35.1,19,15,6,40,0
조리(복어),2016,전체,51,46,8,17.4,25,24,2,8.3,0
조리(복어),2016,여자,27,24,6,25,17,16,0,0,0
조리(복어),2017,전체,47,41,21,51.2,33,27,9,33.3,0
조리(복어),2017,여자,25,22,16,72.7,25,21,8,38.1,0
조리(복어),2018,전체,61,55,18,32.7,34,31,5,16.1,0
조리(복어),2018,여자,30,26,13,50,25,22,4,18.2,0
조리(복어조리),전체,전체,490,402,159,39.6,380,344,102,29.7,0
조리(복어조리),2015(누적),전체,490,402,159,39.6,380,344,102,29.7,0
조리(한식조리),전체,전체,0,0,0,0,0,0,0,0,73
조리(한식조리),2015(누적),전체,0,0,0,0,0,0,0,0,73
조리(양식조리),전체,전체,0,0,0,0,0,0,0,0,123
조리(양식조리),2015(누적),전체,0,0,0,0,0,0,0,0,123
조리(일식조리),전체,전체,0,0,0,0,0,0,0,0,22
조리(일식조리),2015(누적),전체,0,0,0,0,0,0,0,0,22
조리(중식조리),전체,전체,0,0,0,0,0,0,0,0,6
조리(중식조리),2015(누적),전체,0,0,0,0,0,0,0,0,6
1급조리사(특수음식),전체,전체,2,1,0,0,0,0,0,0,0
1급조리사(특수음식),2015(누적),전체,2,1,0,0,0,0,0,0,0
조주,전체,전체,16,12,1,8.3,2,2,1,50,1
조주,2015(누적),전체,16,12,1,8.3,2,2,1,50,1
건축분야,전체,전체,808052,618031,155213,25.1,273469,209485,74205,35.4,96273
건축분야,2015(누적),전체,761334,582109,144028,24.7,258506,197507,67995,34.4,90010
건축분야,2016,전체,8879,6883,1781,25.9,2466,1952,919,47.1,923
건축분야,2016,여자,2697,2182,602,27.6,801,648,321,49.5,322
건축분야,2017,전체,9535,7336,2220,30.3,2774,2212,1167,52.8,1183
건축분야,2017,여자,2897,2357,752,31.9,860,703,426,60.6,428
건축분야,2018,전체,9642,7324,2091,28.5,2938,2355,1298,55.1,1306
건축분야,2018,여자,2950,2310,668,28.9,900,742,472,63.6,472
건축분야,2019,전체,10254,7761,2423,31.2,3131,2560,1402,54.8,1419
건축분야,2019,여자,2988,2373,819,34.5,962,832,540,64.9,541
건축분야,2020,전체,8408,6618,2670,40.3,3654,2899,1424,49.1,1432
건축분야,2020,여자,2585,2068,854,41.3,1043,839,489,58.3,489
건축일반시공,전체,전체,4026,3460,1964,56.8,2003,1891,1473,77.9,1808
건축일반시공,2015(누적),전체,3551,3058,1701,55.6,1740,1653,1361,82.3,1680
건축일반시공,2016,전체,86,68,46,67.6,50,47,31,66,32
건축일반시공,2016,여자,2,0,0,0,1,1,1,100,1
건축일반시공,2017,전체,68,59,24,40.7,25,22,10,45.5,14
건축일반시공,2017,여자,0,0,0,0,0,0,0,0,0
건축일반시공,2018,전체,106,96,66,68.8,58,52,28,53.8,30
건축일반시공,2018,여자,1,1,1,100,0,0,0,0,0
건축일반시공,2019,전체,83,68,43,63.2,47,38,10,26.3,16
건축일반시공,2019,여자,1,1,0,0,0,0,0,0,0
건축일반시공,2020,전체,132,111,84,75.7,83,79,33,41.8,36
건축일반시공,2020,여자,2,1,0,0,0,0,0,0,0
조적,전체,전체,598,545,358,65.7,374,341,272,79.8,0
조적,2015(누적),전체,598,545,358,65.7,374,341,272,79.8,0
건축목공,전체,전체,3558,3173,1936,61,2056,1893,1374,72.6,1543
건축목공,2015(누적),전체,3081,2764,1612,58.3,1726,1606,1230,76.6,1371
건축목공,2016,전체,76,62,48,77.4,49,42,22,52.4,25
건축목공,2016,여자,3,3,3,100,3,2,1,50,2
건축목공,2017,전체,75,63,44,69.8,40,30,14,46.7,20
건축목공,2017,여자,6,6,6,100,4,4,2,50,3
건축목공,2018,전체,103,94,76,80.9,69,57,28,49.1,33
건축목공,2018,여자,6,6,4,66.7,3,3,1,33.3,1
건축목공,2019,전체,116,95,80,84.2,79,70,32,45.7,41
건축목공,2019,여자,9,6,6,100,4,4,2,50,3
건축목공,2020,전체,107,95,76,80,93,88,48,54.5,53
건축목공,2020,여자,6,5,3,60,4,3,2,66.7,2
목재창호,전체,전체,765,719,384,53.4,404,390,328,84.1,352
목재창호,2015(누적),전체,765,719,384,53.4,404,390,328,84.1,352
실내건축,전체,전체,177235,133328,43498,32.6,71772,48597,15800,32.5,15800
실내건축,2015(누적),전체,163893,122551,38931,31.8,66373,44282,13437,30.3,13437
실내건축,2016,전체,2552,2079,768,36.9,997,793,335,42.2,335
실내건축,2016,여자,1470,1234,447,36.2,581,471,213,45.2,213
실내건축,2017,전체,2701,2196,950,43.3,1039,809,463,57.2,463
실내건축,2017,여자,1507,1241,527,42.5,595,489,300,61.3,300
실내건축,2018,전체,2792,2220,820,36.9,1091,886,521,58.8,521
실내건축,2018,여자,1512,1209,443,36.6,595,498,320,64.3,320
실내건축,2019,전체,2796,2244,1034,46.1,1137,947,594,62.7,594
실내건축,2019,여자,1435,1170,546,46.7,607,518,341,65.8,341
실내건축,2020,전체,2501,2038,995,48.8,1135,880,450,51.1,450
실내건축,2020,여자,1350,1111,552,49.7,615,486,279,57.4,279
건축,전체,전체,525693,405924,87803,21.6,155538,123817,46074,37.2,67443
건축,2015(누적),전체,500010,386562,83749,21.7,150108,119377,43067,36.1,64434
건축,2016,전체,4748,3651,590,16.2,836,651,444,68.2,444
건축,2016,여자,1085,843,125,14.8,164,133,100,75.2,100
건축,2017,전체,5316,4003,798,19.9,986,820,551,67.2,552
건축,2017,여자,1248,1008,186,18.5,208,172,117,68,117
건축,2018,전체,5380,3977,792,19.9,1019,811,580,71.5,580
건축,2018,여자,1286,993,187,18.8,239,190,140,73.7,140
건축,2019,전체,5777,4294,867,20.2,1146,962,667,69.3,668
건축,2019,여자,1367,1051,227,21.6,277,254,190,74.8,190
건축,2020,전체,4462,3437,1007,29.3,1443,1196,765,64,765
건축,2020,여자,1102,851,254,29.8,339,289,193,66.8,193
건축설비,전체,전체,90410,66140,17520,26.5,39022,30558,8417,27.5,8473
건축설비,2015(누적),전체,84646,61898,15966,25.8,36062,28362,7944,28,7993
건축설비,2016,전체,1235,888,266,30,463,357,74,20.7,74
건축설비,2016,여자,130,97,24,24.7,51,40,5,12.5,5
건축설비,2017,전체,1179,862,326,37.8,592,448,121,27,126
건축설비,2017,여자,132,100,33,33,53,38,7,18.4,8
건축설비,2018,전체,1078,807,262,32.5,583,442,101,22.9,102
건축설비,2018,여자,137,97,31,32,61,49,9,18.4,9
건축설비,2019,전체,1250,892,290,32.5,575,422,77,18.2,78
건축설비,2019,여자,166,135,31,23,67,50,7,14,7
건축설비,2020,전체,1022,793,410,51.7,747,527,100,19,100
건축설비,2020,여자,112,90,39,43.3,73,52,12,23.1,12
방수,전체,전체,3811,3162,1409,44.6,1890,1651,346,21,346
방수,2015(누적),전체,2834,2432,986,40.5,1309,1149,235,20.5,235
방수,2016,전체,182,135,63,46.7,71,62,13,21,13
방수,2016,여자,7,5,3,60,1,1,1,100,1
방수,2017,전체,196,153,78,51,92,83,8,9.6,8
방수,2017,여자,4,2,0,0,0,0,0,0,0
방수,2018,전체,183,130,75,57.7,118,107,40,37.4,40
방수,2018,여자,8,4,2,50,2,2,2,100,2
방수,2019,전체,232,168,109,64.9,147,121,22,18.2,22
방수,2019,여자,10,10,9,90,7,6,0,0,0
방수,2020,전체,184,144,98,68.1,153,129,28,21.7,28
방수,2020,여자,13,10,6,60,12,9,3,33.3,3
건축제도,전체,전체,1409,1116,235,21.1,267,220,63,28.6,421
건축제도,2015(누적),전체,1409,1116,235,21.1,267,220,63,28.6,421
철근,전체,전체,60,47,13,27.7,15,14,5,35.7,5
철근,2015(누적),전체,60,47,13,27.7,15,14,5,35.7,5
비계,전체,전체,9,6,2,33.3,2,1,1,100,1
비계,2015(누적),전체,9,6,2,33.3,2,1,1,100,1
건축도장,전체,전체,187,163,39,23.9,49,46,24,52.2,57
건축도장,2015(누적),전체,187,163,39,23.9,49,46,24,52.2,57
온돌,전체,전체,157,129,27,20.9,47,38,12,31.6,12
온돌,2015(누적),전체,157,129,27,20.9,47,38,12,31.6,12
거푸집기능사1급,전체,전체,15,14,5,35.7,7,7,4,57.1,0
거푸집기능사1급,2015(누적),전체,15,14,5,35.7,7,7,4,57.1,0
도배,전체,전체,17,16,7,43.8,7,6,4,66.7,4
도배,2015(누적),전체,17,16,7,43.8,7,6,4,66.7,4
기와기능사1급,전체,전체,2,2,1,50,2,2,0,0,0
기와기능사1급,2015(누적),전체,2,2,1,50,2,2,0,0,0
유리시공,전체,전체,76,64,5,7.8,7,6,1,16.7,1
유리시공,2015(누적),전체,76,64,5,7.8,7,6,1,16.7,1
가구도장,전체,전체,24,23,7,30.4,7,7,7,100,7
가구도장,2015(누적),전체,24,23,7,30.4,7,7,7,100,7
토목분야,전체,전체,561329,448467,107035,23.9,155697,139605,73592,52.7,92218
토목분야,2015(누적),전체,524747,420555,96843,23,141947,126849,65881,51.9,84506
토목분야,2016,전체,7934,6048,2275,37.6,2905,2709,1707,63,1708
토목분야,2016,여자,1244,1051,471,44.8,603,577,355,61.5,355
토목분야,2017,전체,7828,6007,2114,35.2,2915,2691,1493,55.5,1493
토목분야,2017,여자,1247,1054,483,45.8,697,665,324,48.7,324
토목분야,2018,전체,7301,5555,1873,33.7,2652,2461,1476,60,1476
토목분야,2018,여자,1266,1064,416,39.1,647,613,348,56.8,348
토목분야,2019,전체,7540,5742,2012,35,2837,2637,1506,57.1,1506
토목분야,2019,여자,1499,1240,528,42.6,763,718,388,54,388
토목분야,2020,전체,5979,4560,1918,42.1,2441,2258,1529,67.7,1529
